trip_id,arrival_time,departure_time,stop_id,stop_sequence
L04_ALLER,06:00:00,06:00:00,S0454,1
L04_ALLER,06:02:16,06:02:16,S0419,2
L04_ALLER,06:04:33,06:04:33,S0421,3
L04_ALLER,06:06:49,06:06:49,S0388,4
L04_ALLER,06:09:05,06:09:05,S0351,5
L04_ALLER,06:11:22,06:11:22,S0314,6
L04_ALLER,06:13:38,06:13:38,S0397,7
L04_ALLER,06:15:55,06:15:55,S0368,8
L04_ALLER,06:18:11,06:18:11,S0334,9
L04_ALLER,06:20:27,06:20:27,S0359,10
L04_ALLER,06:22:44,06:22:44,S0450,11
L04_ALLER,06:25:00,06:25:00,S0328,12
L04_ALLER,06:27:16,06:27:16,S0332,13
L04_ALLER,06:29:33,06:29:33,S0428,14
L04_ALLER,06:31:49,06:31:49,S015,15
L04_ALLER,06:34:05,06:34:05,S0103,16
L04_ALLER,06:36:22,06:36:22,S050,17
L04_ALLER,06:38:38,06:38:38,S0268,18
L04_ALLER,06:40:55,06:40:55,S084,19
L04_ALLER,06:43:11,06:43:11,S0185,20
L04_ALLER,06:45:27,06:45:27,S0124,21
L04_ALLER,06:47:44,06:47:44,S0101,22
L04_ALLER,06:50:00,06:50:00,S0418,23
L04_RETOUR,17:30:00,17:30:00,S0418,1
L04_RETOUR,17:31:22,17:31:22,S0100,2
L04_RETOUR,17:32:44,17:32:44,S0216,3
L04_RETOUR,17:34:05,17:34:05,S0184,4
L04_RETOUR,17:35:27,17:35:27,S085,5
L04_RETOUR,17:36:49,17:36:49,S0268,6
L04_RETOUR,17:38:11,17:38:11,S049,7
L04_RETOUR,17:39:33,17:39:33,S0102,8
L04_RETOUR,17:40:55,17:40:55,S016,9
L04_RETOUR,17:42:16,17:42:16,S0427,10
L04_RETOUR,17:43:38,17:43:38,S0333,11
L04_RETOUR,17:45:00,17:45:00,S0329,12
L04_RETOUR,17:46:22,17:46:22,S0451,13
L04_RETOUR,17:47:44,17:47:44,S0358,14
L04_RETOUR,17:49:05,17:49:05,S0335,15
L04_RETOUR,17:50:27,17:50:27,S0369,16
L04_RETOUR,17:51:49,17:51:49,S0396,17
L04_RETOUR,17:53:11,17:53:11,S0315,18
L04_RETOUR,17:54:33,17:54:33,S0352,19
L04_RETOUR,17:55:55,17:55:55,S0389,20
L04_RETOUR,17:57:16,17:57:16,S0455,21
L04_RETOUR,17:58:38,17:58:38,S0420,22
L04_RETOUR,18:00:00,18:00:00,S0453,23
L06_ALLER,06:00:00,06:00:00,S0390,1
L06_ALLER,06:01:46,06:01:46,S042,2
L06_ALLER,06:03:32,06:03:32,S0129,3
L06_ALLER,06:05:18,06:05:18,S0198,4
L06_ALLER,06:07:04,06:07:04,S0260,5
L06_ALLER,06:08:49,06:08:49,S0204,6
L06_ALLER,06:10:35,06:10:35,S0206,7
L06_ALLER,06:12:21,06:12:21,S058,8
L06_ALLER,06:14:07,06:14:07,S0176,9
L06_ALLER,06:15:53,06:15:53,S0194,10
L06_ALLER,06:17:39,06:17:39,S0144,11
L06_ALLER,06:19:25,06:19:25,S0262,12
L06_ALLER,06:21:11,06:21:11,S0212,13
L06_ALLER,06:22:56,06:22:56,S0235,14
L06_ALLER,06:24:42,06:24:42,S0297,15
L06_ALLER,06:26:28,06:26:28,S0104,16
L06_ALLER,06:28:14,06:28:14,S0192,17
L06_ALLER,06:30:00,06:30:00,S0111,18
L06_ALLER,06:31:46,06:31:46,S0141,19
L06_ALLER,06:33:32,06:33:32,S099,20
L06_ALLER,06:35:18,06:35:18,S023,21
L06_ALLER,06:37:04,06:37:04,S084,22
L06_ALLER,06:38:49,06:38:49,S081,23
L06_ALLER,06:40:35,06:40:35,S057,24
L06_ALLER,06:42:21,06:42:21,S082,25
L06_ALLER,06:44:07,06:44:07,S068,26
L06_ALLER,06:45:53,06:45:53,S0277,27
L06_ALLER,06:47:39,06:47:39,S0295,28
L06_ALLER,06:49:25,06:49:25,S0241,29
L06_ALLER,06:51:11,06:51:11,S0203,30
L06_ALLER,06:52:56,06:52:56,S079,31
L06_ALLER,06:54:42,06:54:42,S048,32
L06_ALLER,06:56:28,06:56:28,S0273,33
L06_ALLER,06:58:14,06:58:14,S0150,34
L06_ALLER,07:00:00,07:00:00,S0319,35
L06_RETOUR,17:30:00,17:30:00,S0319,1
L06_RETOUR,17:32:00,17:32:00,S0298,2
L06_RETOUR,17:34:00,17:34:00,S0279,3
L06_RETOUR,17:36:00,17:36:00,S078,4
L06_RETOUR,17:38:00,17:38:00,S0143,5
L06_RETOUR,17:40:00,17:40:00,S0278,6
L06_RETOUR,17:42:00,17:42:00,S069,7
L06_RETOUR,17:44:00,17:44:00,S083,8
L06_RETOUR,17:46:00,17:46:00,S080,9
L06_RETOUR,17:48:00,17:48:00,S085,10
L06_RETOUR,17:50:00,17:50:00,S024,11
L06_RETOUR,17:52:00,17:52:00,S098,12
L06_RETOUR,17:54:00,17:54:00,S0142,13
L06_RETOUR,17:56:00,17:56:00,S0112,14
L06_RETOUR,17:58:00,17:58:00,S0193,15
L06_RETOUR,18:00:00,18:00:00,S0105,16
L06_RETOUR,18:02:00,18:02:00,S0296,17
L06_RETOUR,18:04:00,18:04:00,S0236,18
L06_RETOUR,18:06:00,18:06:00,S0213,19
L06_RETOUR,18:08:00,18:08:00,S0263,20
L06_RETOUR,18:10:00,18:10:00,S0145,21
L06_RETOUR,18:12:00,18:12:00,S0195,22
L06_RETOUR,18:14:00,18:14:00,S0177,23
L06_RETOUR,18:16:00,18:16:00,S059,24
L06_RETOUR,18:18:00,18:18:00,S0207,25
L06_RETOUR,18:20:00,18:20:00,S0205,26
L06_RETOUR,18:22:00,18:22:00,S0261,27
L06_RETOUR,18:24:00,18:24:00,S0199,28
L06_RETOUR,18:26:00,18:26:00,S0130,29
L06_RETOUR,18:28:00,18:28:00,S043,30
L06_RETOUR,18:30:00,18:30:00,S0391,31
L12_ALLER,06:00:00,06:00:00,S0354,1
L12_ALLER,06:01:43,06:01:43,S0252,2
L12_ALLER,06:03:26,06:03:26,S018,3
L12_ALLER,06:05:09,06:05:09,S0250,4
L12_ALLER,06:06:51,06:06:51,S095,5
