stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
S01,node/5878251652,AD Zanguéra,SOTRAL,6.226129,1.118543
S02,node/5878251653,AD Zanguéra,SOTRAL,6.225077,1.119789
S03,node/6038918989,Adjololo,SOTRAL,6.125682,1.20029
S04,node/6038918990,Adjololo,SOTRAL,6.125775,1.200681
S05,node/5878251664,Aménopé,SOTRAL,6.197318,1.152637
S06,node/6038918995,ANPE Nyékonakpoe,SOTRAL,6.128031,1.209416
S07,node/6038918996,ANPE Nyékonakpoe,SOTRAL,6.128202,1.209697
S08,node/5851416292,Arrê Bar 3k,SOTRAL,6.165822,1.222492
S09,node/6027483993,Arrêt AD Attiégou,SOTRAL,6.177784,1.267781
S010,node/7445030294,Arrêt AD Attiégou,SOTRAL,6.177049,1.267637
S011,node/6038919023,Arrêt ADEBAYOR,SOTRAL,6.186305,1.193415
S012,node/6038919024,Arrêt ADEBAYOR,SOTRAL,6.186919,1.193291
S013,node/6031911332,Arrêt Aéroport,SOTRAL,6.171546,1.252329
S014,node/5878251663,Arrêt Aménopé,SOTRAL,6.197582,1.152329
S015,node/6031875849,Arrêt Amina,SOTRAL,6.154967,1.242472
S016,node/6031875850,Arrêt Amina,SOTRAL,6.153981,1.242261
S017,node/5176267224,Arrêt Antenne Moov,SOTRAL,6.212791,1.175655
S018,node/6038919052,Arrêt Antenne Moov,SOTRAL,6.213584,1.174855
S019,node/6027484005,Arrêt Apsonic,SOTRAL,6.136998,1.237532
S020,node/6031911333,Arrêt ASECNA,SOTRAL,6.165398,1.24757
S021,node/2460983567,Arrêt Atchanvé,SOTRAL,6.225948,1.210748
S022,node/4441215419,Arrêt Atchanvé,SOTRAL,6.227509,1.211047
S023,node/5851818435,Arrêt Atikpamonou,SOTRAL,6.162376,1.201946
S024,node/5854185672,Arrêt Atikpamonou,SOTRAL,6.163453,1.202075
S025,node/6027483995,Arrêt Attissapé,SOTRAL,6.17054,1.267125
S026,node/7445030296,Arrêt Attissapé,SOTRAL,6.16962,1.266974
S027,node/6031733892,Arrêt Banque Atlantique,SOTRAL,6.144209,1.244929
S028,node/6031733893,Arrêt Banque Atlantique,SOTRAL,6.14413,1.244829
S029,node/5891260030,Arrêt BAOBAB,SOTRAL,6.19379,1.137769
S030,node/5891260031,Arrêt BAOBAB,SOTRAL,6.193738,1.138625
S031,node/6038919017,Arrêt Baobab,SOTRAL,6.177702,1.196707
S032,node/6038919018,Arrêt Baobab,SOTRAL,6.178668,1.196379
S033,node/5851416294,Arrêt Bar 3K,SOTRAL,6.164312,1.223008
S034,node/6027483998,Arrêt Bar au Charlet,SOTRAL,6.158937,1.2596
S035,node/6027549185,Arrêt Bar au Charlet,SOTRAL,6.158999,1.259423
S036,node/6038919046,Arrêt Bar la FIESTA,SOTRAL,6.207526,1.181796
S037,node/6038919047,Arrêt Bar la FIESTA,SOTRAL,6.207698,1.181718
S038,node/5851970316,Arrêt Bar le Béton,SOTRAL,6.179596,1.375199
S039,node/5854242884,Arrêt Bar le Béton,SOTRAL,6.180118,1.375224
S040,node/5853811019,Arrêt Bar Orlane,SOTRAL,6.189933,1.153257
S041,node/7362673658,Arrêt Bar Orlane,SOTRAL,6.189824,1.153717
S042,node/5878831490,Arrêt Bar Robinet,SOTRAL,6.228645,1.194884
S043,node/5878831491,Arrêt Bar Robinet,SOTRAL,6.229118,1.194871
S044,node/5851737674,Arrêt Bar Zangan,SOTRAL,6.176167,1.365906
S045,node/5854242881,Arrêt Bar Zangan,SOTRAL,6.176351,1.366919
S046,node/5851737668,Arrêt Bateauvi,SOTRAL,6.166836,1.334987
S047,node/5854242875,Arrêt Bateauvi,SOTRAL,6.166995,1.335933
S048,node/5851398132,Arrêt Bibliothèque Nationale,SOTRAL,6.129339,1.218682
S049,node/6031875853,Arrêt BTCI,SOTRAL,6.150851,1.236373
S050,node/6031875854,Arrêt BTCI,SOTRAL,6.150713,1.236266
S051,node/5851416084,Arrêt Cacavéli,SOTRAL,6.204959,1.208662
S052,node/5851416285,Arrêt Cacavéli,SOTRAL,6.203943,1.208535
S053,node/4440935637,Arrêt Campus Nord,SOTRAL,6.1892,1.211129
S054,node/5851416289,Arrêt Campus Nord,SOTRAL,6.188055,1.211516
S055,node/1701791454,Arrêt Campus Sud,SOTRAL,6.170987,1.220062
S056,node/6221132403,Arrêt Campus Sud,SOTRAL,6.172284,1.219476
S057,node/5851818446,Arrêt Cap Cassablanca,SOTRAL,6.150421,1.201343
S058,node/5878831078,Arrêt Carrefour caméléon,SOTRAL,6.204928,1.190253
S059,node/5878831079,Arrêt Carrefour caméléon,SOTRAL,6.206972,1.18995
S060,node/6038919025,Arrêt Carrefour Gblinkomè,SOTRAL,6.191258,1.191364
S061,node/6236334061,Arrêt Carrefour Gblinkomè,SOTRAL,6.191099,1.191328
S062,node/6031911330,Arrêt CETAP,SOTRAL,6.177238,1.254117
S063,node/6031911331,Arrêt CETAP,SOTRAL,6.176252,1.253981
S064,node/687500374,Arrêt Chez Alice,SOTRAL,6.168231,1.339922
S065,node/5854242876,Arrêt Chez Alice,SOTRAL,6.168075,1.339788
S066,node/5851416290,Arrêt CHU Campus,SOTRAL,6.181907,1.214483
S067,node/5851416291,Arrêt CHU Campus,SOTRAL,6.182838,1.214139
S068,node/5851818442,Arrêt CHU Sylvanus Olympio,SOTRAL,6.142676,1.207354
S069,node/5851818443,Arrêt CHU Sylvanus Olympio,SOTRAL,6.143042,1.207113
S070,node/5851737661,Arrêt Cimtogo,SOTRAL,6.151009,1.285665
S071,node/5854242867,Arrêt Cimtogo,SOTRAL,6.151343,1.287595
S072,node/5870647689,Arrêt Cinéma Monou,SOTRAL,6.24632,1.209523
S073,node/5870647690,Arrêt Cinéma Monou,SOTRAL,6.246321,1.209647
S074,node/5851737665,Arrêt Cité Baguida,SOTRAL,6.161968,1.317696
S075,node/5854242872,Arrêt Cité Baguida,SOTRAL,6.162393,1.319605
S076,node/5851416078,Arrêt CMS Agoè,SOTRAL,6.223988,1.209889
S077,node/5851416079,Arrêt CMS Agoè,SOTRAL,6.224427,1.210188
S078,node/5854185674,Arrêt CNPP,SOTRAL,6.13215,1.217585
S079,node/5854185675,Arrêt CNPP,SOTRAL,6.131878,1.217947
S080,node/5851818440,Arrêt Collège Plateau,SOTRAL,6.15407,1.201581
S081,node/5854185673,Arrêt Collège Plateau,SOTRAL,6.153805,1.201478
S082,node/1413900273,Arrêt Collège Protestant,SOTRAL,6.146343,1.203905
S083,node/5851818441,Arrêt Collège Protestant,SOTRAL,6.147718,1.202776
