trip_id,arrival_time,departure_time,stop_id,stop_sequence
L12_ALLER,06:00:00,06:00:00,S0354,1
L12_ALLER,06:01:43,06:01:43,S0252,2
L12_ALLER,06:03:26,06:03:26,S018,3
L12_ALLER,06:05:09,06:05:09,S0250,4
L12_ALLER,06:06:51,06:06:51,S095,5
L12_ALLER,06:08:34,06:08:34,S037,6
L12_ALLER,06:10:17,06:10:17,S096,7
L12_ALLER,06:12:00,06:12:00,S0401,8
L12_ALLER,06:13:43,06:13:43,S0378,9
L12_ALLER,06:15:26,06:15:26,S0167,10
L12_ALLER,06:17:09,06:17:09,S0148,11
L12_ALLER,06:18:51,06:18:51,S0173,12
L12_ALLER,06:20:34,06:20:34,S0217,13
L12_ALLER,06:22:17,06:22:17,S061,14
L12_ALLER,06:24:00,06:24:00,S011,15
L12_ALLER,06:25:43,06:25:43,S086,16
L12_ALLER,06:27:26,06:27:26,S0255,17
L12_ALLER,06:29:09,06:29:09,S030,18
L12_ALLER,06:30:51,06:30:51,S0138,19
L12_ALLER,06:32:34,06:32:34,S088,20
L12_ALLER,06:34:17,06:34:17,S0444,21
L12_ALLER,06:36:00,06:36:00,S023,22
L12_ALLER,06:37:43,06:37:43,S0286,23
L12_ALLER,06:39:26,06:39:26,S081,24
L12_ALLER,06:41:09,06:41:09,S057,25
L12_ALLER,06:42:51,06:42:51,S082,26
L12_ALLER,06:44:34,06:44:34,S068,27
L12_ALLER,06:46:17,06:46:17,S0277,28
L12_ALLER,06:48:00,06:48:00,S0295,29
L12_ALLER,06:49:43,06:49:43,S0241,30
L12_ALLER,06:51:26,06:51:26,S0203,31
L12_ALLER,06:53:09,06:53:09,S079,32
L12_ALLER,06:54:51,06:54:51,S048,33
L12_ALLER,06:56:34,06:56:34,S0273,34
L12_ALLER,06:58:17,06:58:17,S0150,35
L12_ALLER,07:00:00,07:00:00,S0319,36
L12_RETOUR,17:30:00,17:30:00,S0319,1
L12_RETOUR,17:30:58,17:30:58,S0298,2
L12_RETOUR,17:31:56,17:31:56,S0279,3
L12_RETOUR,17:32:54,17:32:54,S078,4
L12_RETOUR,17:33:52,17:33:52,S0143,5
L12_RETOUR,17:34:50,17:34:50,S0278,6
L12_RETOUR,17:35:48,17:35:48,S069,7
L12_RETOUR,17:36:46,17:36:46,S083,8
L12_RETOUR,17:37:45,17:37:45,S080,9
L12_RETOUR,17:38:43,17:38:43,S0285,10
L12_RETOUR,17:39:41,17:39:41,S024,11
L12_RETOUR,17:40:39,17:40:39,S0443,12
L12_RETOUR,17:41:37,17:41:37,S089,13
L12_RETOUR,17:42:35,17:42:35,S0137,14
L12_RETOUR,17:43:33,17:43:33,S029,15
L12_RETOUR,17:44:31,17:44:31,S0254,16
L12_RETOUR,17:45:29,17:45:29,S087,17
L12_RETOUR,17:46:27,17:46:27,S012,18
L12_RETOUR,17:47:25,17:47:25,S060,19
L12_RETOUR,17:48:23,17:48:23,S0218,20
L12_RETOUR,17:49:21,17:49:21,S0174,21
L12_RETOUR,17:50:19,17:50:19,S0149,22
L12_RETOUR,17:51:17,17:51:17,S0168,23
L12_RETOUR,17:52:15,17:52:15,S0379,24
L12_RETOUR,17:53:14,17:53:14,S0402,25
L12_RETOUR,17:54:12,17:54:12,S097,26
L12_RETOUR,17:55:10,17:55:10,S036,27
L12_RETOUR,17:56:08,17:56:08,S094,28
L12_RETOUR,17:57:06,17:57:06,S0251,29
L12_RETOUR,17:58:04,17:58:04,S017,30
L12_RETOUR,17:59:02,17:59:02,S0253,31
L12_RETOUR,18:00:00,18:00:00,S0353,32
